Categorie;Email
Belasting, Werk en Inkomen;Ik wil graag een klacht indienen over de AFAC Amsterdam. Mijn fiets is weggeknipt van de fietsenflat bij station Amsterdam Centraal, terwijl hij op een goede plek in het fietsenrek stond. Hij stond op de begane grond van de fietsenflat, in een rek. De fiets heeft daar van donderdag 22 januari tot donderdag 28 januari gestaan, ook niet langer dan de toegestane termijn van 3 weken dus.Het liefst zou ik mijn slot vergoed willen krijgen, aangezien dat voor niets in doorgeknipt. Anders wil ik aangeven dat het verwijderen van de fietsen op een bijzonder onzorgvuldige wijze wordt uitgevoerd. Dan hoop ik dat daar meer oog voor komt.
Parkeren;Geachte medewerker, ik heb mij zeer geruime tijd geleden schriftelijk opgeven om voor op een stembureau werken op de verkiezingen van 18 maart 2015, daarop zou ik een link op het doormij opgegeven e-mail adres ontvangen, helaas is het zo dat ik ook na contact met het telefoonnummer 06 10403622 Mouni kzemi geen link heb mogen ontvangen, wilt u mij vertellen wanneer het kan afleggen? zodat ik aan verkiezingen180315<br />Aanmelden als lid van een stembureau = mogelijk. graag verneem ik de volgende stapmij als nog de link toe te sturen zodat ik het tentamen kan voltooien en oproepen op 18 03 2015
Openbare Ruimte;illegale asbestsloop en saneringContrlole op asbest-besmetting
Basisinformatie;Op 22 december 2014 heeft u mij per brief, 012 2561200 - spoor b, brief x11 - kennisgegeven van uw besluit om mij te plaatsen binnen het cluster dienstverlening en informatie. <br />Echter, in oktober 2014 heb ik bij u digitaal een zienswijze ingediend mbt tot het voorgenomen besluit dd 25 september 2014 kenmerk 0122561200 spoor b, brief 2, welke tot op heden inhoudelijk niet door u is behandeld. Bij deze maak ik daarom bezwaar tegen uw besluit van 22 december 2014.Het besluit dd 22 december 2014 dient nietig te worden verklaard en mijn eerder ingediende zienswijze dient alsnog behandeld te worden.
Openbare Ruimte;In buurthuis de Honingraat in Slotermeer is er op dinsdag van 9 tot 12 uur een gratis ontbijt voor alleen mannen. Ik vind dat discriminatie van vrouwen en niet kunnen, zeker niet van gemeenschapsgeld betaald.Deze vorm van vrouwendiscriminatie niet sponsoren. Deelraad beter controleren waar men geld aan uitgeeft.
Basisinformatie;Openstaande factuur d.d. 4 maart 2014Overgaan tot betaling van de factuur met kenmerk 20140026 van DSR Food Purmerend
Openbare Ruimte;ondanks herhaald aanmanen mocht en wij nog steeds geen subsidiebeschikking 2014 (!!) ontvangen, en daarmee ook nog voorschot hier opspoed betrachten en afwikkelen
Parkeren;Op 13<wbr />/04<wbr />/2015 belde ik herhaaldelijk met het nummer 020-5519645 om nadere info over een door mij schijnbaar begane overtreding (uw nr.10363000255884) De reactie was afwisselend 'in gesprek' en 'dit nummer is niet beschikbaar'. Daarna heb ik gebeld met 14920 omdat ik vermoedde dat er iets niet klopte. Antwoord was dat ik maar moest blijven bellen en dat het probleem met het toestel raar, maar bekend was. Na tientallen malen bellen zonder resultaat kreeg ik tegen 4 uur na lang aandringen een alternatief nummer dat ik  op dinsdag en woensdag kon bellen tussen 8 en 12 uur.<br />Dit nummer (020 2564123) heb ik op 14<wbr />/04 om ca. 9 uur gebeld. Een slecht Nederlands sprekende medewerker was duidelijk geirriteerd en absoluut niet bereid op mijn vraag om nadere info in te gaan (naam: Chintoe). Hij volstond er mee mij te wijzen op de mij allang bekende verzetsprocedure bij het Openbaar Ministerie. Op  mijn vraag over wat ik precies had misdaan ging hij niet in. Plots smeet hij de hoorn op de haak.De telefoon 020-5519645 normaal laten functioneren. De heer Chintoe ter verantwoording roepen. In het vervolg kundig relevante info verstrekken als daarom wordt gevraagd. Mij rapporteren over het resultaat.
Parkeren;Nee
Openbare Ruimte;Door ambtenaar onheuse bejegening: rigide opstelling, niet praktisch of oplossingsgericht, niet aan de afspraak houden, uitgaan van verkeerde veronderstellingen, machtsmisbruik, asociale opstelling naar buurtbewoners.In de eerste plaats dient deze handhaver aangesproken te worden op het in de klacht vermeldde.<br />In de tweede plaats dienen de borden voor de ontheffing volgens vergunning direct te worden terug geplaatst.
Openbare Ruimte;25 februari , vandaag, (woensdag)  fiets meegenomen.de gemaakte kosten vergoeden 15 euro en reiskosten om naar het fietsdepot te gaan.  ongeveer 30 a 40 euro.
Basisinformatie;Op zondag wordt er veel fout geparkeerd in het Stadsdeel Westerpark, met name wanneer het maandelijkse evenement 'Sunday Market' er is. Daarom is het ook goed dat Stadstoezicht hier dan ook op handhaaft.<br />Ik heb geconstateerd dat alle foutgeparkeerde auto's een bon kregen (o.a. meerdere auto's in het doodlopende einde van de Groen van Prinsterstraat), behalve een Audi. Het was duidelijk dat de medewerker van Stadstoezicht (grote, kale man) bevriend is met de eigenaar van deze Audi. De eigenaar kreeg dan ook geen bon. Dit werd op straat ook uitgesproken door de handhaver tegen de eigenaar van de Audi. Ik reed namelijk net op mijn fiets langs en hoorde dit.<br />Toen ik een kwartier later weer door de straat reed, stond de Audi er nog steeds en zonder bon.Minimaal de betreffende medewerkers aanspreken op hun gedrag, maar eigenlijk vind ik dit wel een interne sanctie waard. Dit is namelijk een voorbeeld van willekeurig handelen en vriendjespolitiek van de Gemeente naar haar burgers toe. En dat vind ik echt niet kunnen.
Basisinformatie;Mijn klacht gaat over een voertuig van Handhaving die midden op de stoep geparkeerd werd op de Van Limburg Stirumstraat te Amsterdam, ter hoogte de Kruidvat. De bestuurder van dit voertuig, de 47-LRB-3, stapte vervolgens uit en ging boodschappen doen in de Kruidvat. De bestuurder was gekleed in een opvallend handhavers tenue en kennelijk aan het werk. <br /><br />(parkeren volgens het rvv: het laten stilstaan van een voertuig anders dan gedurende de tijd die nodig is voor en gebruikt wordt tot het onmiddellijk in- of uitstappen van passagiers of voor het onmiddellijk laden of lossen van goederen)Ik wil dat de bestuurder van dit voertuig een bekeuring krijgt voor parkeren op de stoep. <br />Ik woon zelf in de buurt van de Van Limburg Stirumstraat en in deze wijk is er een parkeer probleem. Hierdoor creeren de bewoners parkeerplekken die eigenlijk niet als zodanig zijn ingericht maar wel als parkeerplek gebruikt kunnen worden omdat op deze plekken de voertuigen voor niemand in de weg staan. Toch krijg ik als ik op zo'n plek mijn voertuig parkeer een bekeuring, de laatste keer was dat voor parkeren op het trottoir. Ik vind dat iedereen gelijk behandeld moet worden en de handhavers niet zomaar zulke dure bekeuringen kunnen uitschrijven voor voertuigen die niet eens in de weg staan en dan vervolgens zelf op het trottoir kunnen parkeren om even boodschappen te gaan doen wat vermoedelijk ook nog voor privedoeleinden is. <br />
Belasting, Werk en Inkomen;Ik woon op de Leidsegracht 112-2  1016 C T  te Amsterdam.<br />Ik parkeer mijn fiets meestal op het fietsrek voor mijn deur!! <br />Ik vind regelmatig op mijn fiets verwijdering labels opgeplakt! <br />Ik ben vaak voor mijn werk in het buitenland soms voor een week of soms voor 5 a 6  weken!! <br />ik heb mijn fiets via de gemeente laten chippen als bewoner van het binnenstad. <br />Mijn fiets mag NIET verwijderd worden en ook niet meer beplakt worden met verwijdering labels!!<br />U moet rekening houden met bewoners en mensen als ik die voor hun werk vaak in het buitenland zijn en uw regels aanpassen en de juiste service aan de bewoners verlenen.Zoals ik al boven beschrijf, de gemeente Amsterdam moet rekening houden met bewoners die nota bene ook hun fiets hebben laten chippen speciaal voor de fietsbeleid van de gemeente en niet zomaar fietsen labelen en zomaar de fietsen verwijderen!!! Dat is zeer schadelijk en zeer vervelend!!
Openbare Ruimte;Klacht over handhavend personeel (BOA).<br />Zie bijlage voor uitgebreid verslag...<br />De betreffende handhaver wijzen op verkeerd gedrag en gebrek aan empathisch vermogen.<br />Eventuele boetes herzien.<br />
Belasting, Werk en Inkomen;ik woon bij Burg meester van leeuwen laan 101-1 .wij hebben buiten het gebauw bij de stoep een grote gaat bij de muur dicht bij turkisch coffe.eerst kijken en de gaat dich maken.
Parkeren;fout parkeren of te snel rijden, of wat dan ook, een boete is het gevolg.<br />Maar wat moet ik met het hart van de stad, natuurlijk de fietsen horen bij Amsterdam, maar moeten we dan onze nek breken op de Dam over de fietsen, of je in bochten moeten wringen om fatsoenlijk de Bijenkorf te bereiken en dan het aanzicht van het Monument, moet dat alleen op 4 mei er fatsoenlijk uitzien.
Openbare Ruimte;zwarte piet krijgt roetvegenzwarte piet zwart
Openbare Ruimte;ik heb diverse keren geklaagd over auto,s  die gewoon op laad en los plaatsen staan om zo de parkeergeld te ontlopen het gebeurd vaak in het weekend en s,avonds mensen weten dat cition niet mag bekeuren ik zou graag dat dit nu eens wordt opgelostmeer gaat controleren de politie doet ook niks
Openbare Ruimte;Er vind geen of zeer sporadisch parkeer controle plaats sinds invoering van de blauwe zone in de van Gilsestraat en omgeving.<br />Waardoor er regelmatig auto,s geparkeerd staan welke geen vergunning of blauwe kaart achter de voorruit hebben.<br />Tevens zetten bestuurders hun auto de avond tevoren neer in de van Gilsestraat en zetten hun blauwe kaart vast op 11 uur en draaien deze gewoon per dag een paar keer door.vaker en beter controleren.
Openbare Ruimte;Ik krijg 2 keer brieven van Cecilia Ho, Educatie & Inburgering Gemeente Amsterdam. Ik heb al met andere colleges om mijn inburgeringsexamen goedgekeurd. Met Cecilia Ho weet het dat niet want ze was ziek. Ze heeft me een boete gestuurd. Kunt u me om te helpen, hoe moet ik met haar contacten? Of kunt u mijn gegevens kijken en vertelt aan haar dat mijn inburgeringsexamen goedgekeurd is. Ik hoop het u voldoen begrip hebt. <br />Met vriendelijke groet,<br />J. el YakhlafMet haar<wbr />/hem contact te nemen.
Openbare Ruimte;L.S.<br />Hierbij teken ik bezwaar aan tegen de verhoging van het vergunningen tarief. in 2011 was ons tarief nog 89,46 en t.o.v. 4 jaar geleden is dit met zo'n 50% verhoogd!<br />parkeertarieven herzien
Openbare Ruimte;Fiets is in de periode 01-02 <wbr />/ 06-02 weggehaald van de oostzijde van het Centraal station. De fiets was correct geparkeerd in een fietsrek. Desondanks verwijderd en naar het fietsdepot gebracht.Voor het ophalen van de fiets staat een bedrag van 15 euro. De fiets stond netjes in een fietsrek geparkeerd. Echter niet vast aan een rek, dus de mogelijkheid bestaat dat een ander de fiets heeft weggehaald en op een andere plek heeft neergezet. <br /><br />Wilde er even aan toevoegen dat ik altijd mijn fiets netjes parkeer, waar ik ook kom in Amsterdam. Deze is dus ook nog nooit weggehaald door de gemeente. Ik zou u dus vriendelijk willen vragen de boete kwijt te schelden. <br /><br />Veel dank en vriendelijke groeten
Belasting, Werk en Inkomen;Geachte heer, mevrouw,<br />Reeds enige tijd hebben wij bijna dagelijks veel overlast van het stoken van de houtkachels en open haarden in de woningen rondom onze woning op de Pieter Holmstraat 11. Op grond van Artikel 7.22 van het Bouwbesluit 2012 bent u als gemeente verplicht de overlast veroorzaakt door houtkachels of open haarden te doen beeindigen. Er wordt zeer veel gestookt rondom onze woning, ook bij mist en als het windstil is, wat erg schadelijk is voor de gezondheid. Bij deze doe ik dan ook een handhavingsverzoek en vraag ik u op te treden tegen de overlast die wij ondervinden van het gebruik van de houtkachels en open haarden in de woningen rondom onze woning. Als we ons slaapkamerraam open hebben staan overdag stinkt het 's avonds en de hele nacht naar de houtrook in de slaapkamer. Als deze situatie (lees: vergiftiging) willen we gaan proberen het betalen van de gemeentelijke belastingen te herzien n.a.v. het niet handhaven van het beleid door de gemeente inzake houtkachels.De stokers middels een brief duidelijk maken dat er niet gestookt mag worden bij mist of als het windstil is.
Openbare Ruimte;Aan de Gemeenteraad van de Gemeente Amsterdam,<br /><br /> <br /><br />Op 20 oktober 2014 heb ik de gemeenteraad verzocht om beperkende maatregelen op te leggen in de terugkerende evenementenvergunning (omgevingsvergunning) voor het Amsterdam Dance Event in verband met geluidsoverlast voor omwonenden.<br /><br />Geregistreerd onder 2014-8809 is de brief als nummer 38 van de ingekomen stukken vermeld op de raadsvergadering van 5 november 2014.<br /><br />Ik heb ook keurig een ontvangstbevestiging en een behandelbericht ontvangen van mijn verzoek. Echter tot op heden heb ik nog geen antwoord mogen ontvangen op mijn verzoek.<br /><br />Het oorspronkelijke verzoek heb ik nogmaals bijgesloten met nogmaals het verzoek om een antwoord zoals afgesproken in de raadsvergadering van 5 november 2014.      <br /><br />Met hoogachting en in afwachting van uw bericht,<br /><br /> <br /><br />Paul Gabler<br />Rijksstraatweg 26<br />1115 AK Duivendrecht<br />Aan de Gemeenteraad van de Gemeente Amsterdam,<br /><br /> <br /><br />Op 20 oktober 2014 heb ik de gemeenteraad verzocht om beperkende maatregelen op te leggen in de terugkerende evenementenvergunning (omgevingsvergunning) voor het Amsterdam Dance Event in verband met geluidsoverlast voor omwonenden.<br /><br />Geregistreerd onder 2014-8809 is de brief als nummer 38 van de ingekomen stukken vermeld op de raadsvergadering van 5 november 2014.<br /><br />Ik heb ook keurig een ontvangstbevestiging en een behandelbericht ontvangen van mijn verzoek. Echter tot op heden heb ik nog geen antwoord mogen ontvangen op mijn verzoek.<br /><br />Het oorspronkelijke verzoek heb ik nogmaals bijgesloten met nogmaals het verzoek om een antwoord zoals afgesproken in de raadsvergadering van 5 november 2014.      <br /><br />Met hoogachting en in afwachting van uw bericht,<br /><br /> <br /><br />Paul Gabler<br />Rijksstraatweg 26<br />1115 AK Duivendrecht
Basisinformatie;Ik woon op Dever 17 en kijk uit op de Van Boshuizenstraat. In de Van Boshuizenstraat en de hiernaast gelegen straten wordt nu al lange tijd de straat vernieuwd. De aannemer heeft nu opnieuw stalen platen over de straat gelegd waardoor iedere auto die hierover heen rijdt geluidsoverlast geeft. Ik vind dit niet normaal. Vorige week speelde hetzelfde en ven ik de aannemer gaan vragen hoe lang het nog zou duren. Nou wel tot na het weekend. Maandag 8 feb stopte de herrie. Nu is het vrijdag de 13e en zijn opnieuw stalen platen neergelegd en zitten de bewoners van onze flat weer in ieder geval een heel weekend in de herrie. Schofterig dit. Echt schandalig.Ik wil dat de gemeente zorgt dat hun aannemers rekening houden met bewoners. De herrie is vreselijk. Er rijden dag en nacht auto's over de stalen platen op de van Boshuizenstraat dit is geen doen. Doe een wegomleidingen en denk na. Weer dagen vol lawaai. Ik vind dit echt schandalig.
Basisinformatie;Vanmorgen heeft een medewerker van de gemeente Amsterdam mij met zijn brommobiel geprobeerd aan te rijden. <br />Ik reed met de fiets over het fietspad dat paralel loopt aan het Jaagpad, vlak voor de sluis. Voor mij reed iemand met een jas van de Gemeente Amsterdam in een brommobiel. Hij reed nogal langzaam en toen ik hem op de fiets in wilde halen, ging hij opeens harder rijden en reed hij steeds verder naar links. Ik werd bijna in de linkerberm gedrukt en toen ik naast hem zat riep ik: Kijk uit idioot! Hij keek me recht aan door zijn zijruit en gaf volledig bewust een ruk aan het stuur naar links en als ik niet keihard geremd had, had hij me zo aangereden.Ik verwacht dat deze meneer op zijn minst een berisping krijgt. Iemand die zulk gestoord gedrag op de weg vertoont, hoort daar niet thuis. En ik verwacht dat al helemaal niet van een medewerker van de Gemeente Amsterdam.
Openbare Ruimte;Het lijkt erop dat er geen bijzondere regels of criteria zijn die gelden voor de uitgifte-procedures van domeinnamen onder de nieuwe TLD .Amsterdam, eigendom Gemeente Amsterdam. <br /><br />3 voorbeeld-vragen:<br /><br />Naar welke maatstaven zijn de nu geregistreerde domeinen toegekend? TEDx is een bedrijf uit New York: de domeinnaam 'dance' had waarschijnlijk niet zonder aanbesteding mogen worden toegekend.<br /><br />Er zijn meerdere BV's bij registratie & administratie zbetrokken. Hebben deze BV's, aandeelhouders, directeuren, medewerkers, invloed op de keus van de 100 pioniers?<br /><br />In de pioniersperiode zal niet elke aangemelde naam gratis zal worden toegekend 'omdat een heel bijzondere domeinnaam wel te waardevol kan zijn om weg te geven.' Normaal gesproken hebben alle domeinnamen onder een TLD dezelfde prijs.<br /><br />Trefwoord: wilekeur<br />Met de uitgave van .amsterdam domeinnamen zijn grote economische belangen gemoeid. Het is noodzakelijk dat de uitgave zorgvuldig, fair en transparant gebeurt, op een manier die gebruikelijk is voor, en passend is binnen regelgeving en beleid van de Gemeente Amsterdam, Icann en eventueel andere betrokken organisaties. Naar mijn eerste inschatting is dit nu niet het geval.<br /><br />Wanneer de conclusie moet worden getrokken dat mijn inschatting (deels) juist is, verzoek ik u met spoed de nodige stappen tot verbetering te zetten.<br /><br />Een stap die ik voor noodzakelijk houdt, is de oprichting van een consortium met publiekrechtelijke opdracht, waar als minimale eis mensen, bedrijven en organisaties zijn vertegenwoordigd die voor verschillende belangen staan.<br />
Belasting, Werk en Inkomen;aangiften(politie) heb ik gedaan tegen burger <wbr />/woonachtig in amsterdam:LUCIA RIJKER van laster & smaad<wbr />/prive in breuk<wbr />/stalkenik zou het zeer opprijs stellen met nadruk<wbr />/klem eigenlijk meer dat zij wordt gecontact door iemand van jullie een autoroteit:politie dat ze zgm. moet stoppen mij 24<wbr />/7 lastig te vallen in mijn priveleven!!<br />ze moet mij met rust laten en verder gaan met haar eigen leven!!<br />ze is doorgedraaid<wbr />/ gek geworden want ze valt me 24<wbr />/7=dag en nacht lastig al va. sept. 2014 totaanheden en ik ben niet geinteresseerd in haar!!<br />laat haar zgm. stoppen aub!!<br />kunt u haar telefonisch<wbr />/via de email<wbr />/of desnoods thuis bij haar langs gaan haar dit met klem zgm. laten weten dat ze zgm. MOET stoppen!!<br />bijv.b..dank<br />mevr. K.M.Loonen<br />LIMBURG:VAALS!!
Belasting, Werk en Inkomen;Dhr. voelt zich geintimideerd door 2 handhavers. Dhr. was een paspoort a<wbr />/h aanvragen bij Stadsdeel Oost. Toen meneer klaar was stapte hij op de fiets en nog niet eens 10 meter werd hij aangehouden deze 2 handhavers omdat ze vonden dat hij verkeerd zou fietsen. Echter is dit een plein vanuit het stadsdeelkantoor. Zijn verders geen duidelijke verkeersborden hierover. Dhr. kreeg verders geen informatie v<wbr />/d handhavers om er verder over in te gaan.Dat er dan duidelijk wordt aangegeven wie men zou zijn. Wat ze doen in ieder geval dat er een bewijs wordt uitgegeven waar, wat of wat men verkeerd dan doet.<br />Duidelijkheid van functie.<br />Niet dat men zich moet legitimeren en dat zo dan wordt gezegd dat de acceptgiro maar thuis wordt gestuurd. <br />Rare gang van werken.
Openbare Ruimte;Ik heb onderstaande klacht ingediend bij het GVB. Ik stuur een CC ter info aan B&W van Amsterdam, aangezien het een ernstige zaak betreft.<br />Betreft: enige lift metrostation Strandvliet buiten gebruik gedurende meer dan 1 maand, hetgeen ernstige overlast betekent voor gehandicapten in rolstoelen en ouders met kinderen in kinderwagens. Zie bijlage (e-mail aan directie GVB).<br /><br /><br />Het GVB aanmanen om snel in actie te komen.
Openbare Ruimte;Betreft:  Flitsauto met kenteken 20-ZTL-1, Meerkerkdreef Amsterdam Zuid-Oost.<br />Geachte heer of mevrouw,<br />Op maandag 2 maart reed ik tussen 12.00 en 12.30  op de Meerkerkdreef in Amstedam Zuid-Oost. Er waren werkzaamheden op de weg. Men moest van 50 naar 30 rijden. Op zich is dat natuurlijk geen probleem want men rijdt binnen de bebouwde kom.Wat mij echter verbaasde is dat er een ongeveer 20 tot 30 meter, na het bordje waarop stond dat je 30 km per uur moest rijden,  uw medewerkster met haar auto al naar het tegemoetkomende verkeer stond te flitsen. Achter haar was dus de omzetting en 20 tot 30  meter voor de neus van haar auto stond het bordje voor 30 km. <br />Ik had al gas teruggenomen en reed al richting 35, maar wat mij verbaast is dat uw collega niet beseft dat zij automobilisten de gelegenheid moet geven om gas terug te nemen.u bent netwerkbeheerder van de wegen en heeft opdracht gegeven voor controle. Dat is prima maar moet wel goed uitgevoerd worden.
Openbare Ruimte;Mijn klacht gaat over de verscheidene taxistandplaatsen in Amsterdam en de lopende motoren van de taxi's. En dan met name het CS. Iedere keer als ik mijn fiets parkeer en naar het station loop adem ik een walm van uitlaatgassen in. Dit is zo slecht voor de gezondheid van de Amsterdamse burger en passanten. Bovendien is het ook heel slecht voor het milieu. Mijn verzoek is dan ook of er een verplichting kan komen dat de taxi's bij stilstand hun motoren uitzetten. <br />verzoek uitzetten van de motoren van taxi's bij stilstand alle taxistandplaatsen Amsterdam
Basisinformatie;Het veranderen van zwarte piet bij het Sinterklaas feestHet kinderfeest behouden zoals het is want de meerderheid wilt zwarte piet behouden zoals zwarte piet is
Parkeren;Ik wil een klacht indienen tegen het veranderen van het uiterlijk van Zwarte Piet.Geen aanpassing van het uiterlijk van Zwarte Piet.
Openbare Ruimte;Ik vind dat zwarte piet zwart moet blijven!!Zwarte piet zwarte piet laten.
Parkeren;Met afschuw lees ik dat bij de intocht van Sinterklaas de zwarte Pieten deels worden aangepast. Ruim 80% van de Nederlandse bevolking wil dit niet!!!!! <br />Stop deze waanzinZwarte Piet moet ZWART blijven
Openbare Ruimte;De gemeente Amsterdam is naar mijn inzien  de weg volledig kwijt. Omwille van een kleine groep mensen word een volkstraditie kapot gemaakt. <br />Alle onderzoeken tonen aan dat een overweldigende meerderheid tegen het aanpassen van zwarte piet is, hoe is het mogelijk dat hierin de minderheid wint?<br />Ik voel mij als Nederlander aangetast in mijn eergevoel. Als voorstander van zwarte piet word ik nu neergezet als een racistisch persoon, en ik ben juist alles behalve dat. De gemeente Amsterdam sterkt door het invoeren van een alternatieve zwarte piet de minderheid in hun belachelijke claim dat er in Nederland op grote schaal aan racisme zou worden gedaan.<br />Ik wil dat de gemeente zsm de vergunning aanpast, en dat er geen enkele zogeheten 'roetveeg-piet' word toegstaan tijdens de intocht.<br />Voorts wil ik dat de gemeente Amsterdam met de burgemeester voorop zich hard maakt voor Nederlandse traditie,  en stopt met zich te laten intimideren door een kleine groep mensen.
Belasting, Werk en Inkomen;Sinterklaas intocht! - Met de aanpassing bij de intocht van Sinterklaas word verraad gepleegd aan de NL cultuur!Een verbond op de Nep Piet - omdat de Burger Dictator 'zijn' achterban te vriend wil houden wordt het Nederlandse volk een stempel opgedrukt als zijnde racistisch! - Dit is Partij Politiek wat bedreven word over de hoofden van het NL volk! -
Basisinformatie;Mijn klacht is dat de burgermeester de Nederlandse cultuur discrimineert door niet alleen zwarte piet maar ook ander soort pieten gaat gebruiken bij de binnenkomst van het Nederlandse sinterklaas feest.Weer luistert naar de roep van het Nederlandse volk om zwarte piet gewoon zwart te houden en niet te verminken in andere kleuren.
Parkeren;Zwarte Piet met roetvegen, waarom een kinderfeest zo verpesten. Zo jammer. Ik heb respect voor onze 'anders gekleurde' medemens, maar dit gaat echt te ver!
Basisinformatie;Ik wil dat Zwarte Piet zwart blijft en dat er naar de meerderheid geluisterd wordt! En anders wil ik dat de Gay Pride afgelast wordt, want daar stoor ik mij al jaren aan.Zwarte Piet, Zwarteiet laten blijven.
Openbare Ruimte;Toegeven aan de kleine minderheid die Zwarte Piet wil verbieden.<br />Omdat een hele kleine minderheid Zwarte piet graag anders ziet wordt dit aangepast bij de komende intocht.<br />Waarom wordt er niet naar de grote meerderheid geluisterd? <br />We leven toch in een democratisch land?<br />Waarom gaat u een kinder(!)feest aanpassen?<br /><br />Nederlandse tradities in ere houden en kinderfeesten laten zoals ze zijn.
Openbare Ruimte;Dat ONZE traditie van Sinterklaas die als helpers, zolang als ik met kan herinneren (75 jaar), ZWARTE Pieten als knecht had. Wat nou discriminatie en waarom laten we onze oren hangen naar een kleine minderheid??? Dit is pas DISCRIMINATIE!!!!Zwarte Piet moet gewoon Zwarte Piet blijven. ONZE TRADITIE!!!!!
Parkeren;Ik zie zojuist bij het gaan stemmen voor de provinciale verkiezingen, dat mijn paspoort op 22 juni 2015, nu al na 5 jaar,  'afloopt'. Ik heb net op internet gekeken voor de procedure van een nieuw paspoort<wbr />/paspoort verlengen, en zie dat een paspoort nu 10 jaar geldig is. Waarom kan mijn paspoort dan niet nog 5 jaar verlengd worden? Weer 66 euro betalen: ik heb het nietMijn paspoort verlengen voor 5 jaar, of anders mij een tegemoetkoming in de kosten geven voor een neiuw paspoort, dat nu ineens dan wel 10 jaar geldig is. Dus: 33 euro tegemoetkoming.
Parkeren;Ik wil graag klagen over de indeling van het stembureau bij de poort in Amsterdam (Hugo de grootkade) De stembakken stonden niet binnen bereik van de stembureau leden.Zorgen dat <br />1- De klacht serieus genomen wordt en voor de volgende verkiezingen verholpen is.<br />2- Er voor zorgen dat ik door de voorzitten niet wordt weg gestuurd met nee hoor ze zijn net wezen kijken en alles is in orde want dit is niet zo! Mijn klacht werd nog geen eens geregistreerd!
Parkeren;Beller heeft klacht over het feit dat de burgemeester de gemeenteraad middels een brief op de hoogte heeft gebracht van de luxevoorziening. ( Gratis ov-kaart uitgeprocedeerde asielzoekers ) <br /><br />Zowieso dit onder de aandacht brengen van de Gemeentelijke Ombudsman. Kabinet van de Burgemeester.
Openbare Ruimte;Het gaat om de afgelopen verkiezingen: Bij de ingang van de Louis Bouwmeesterschool was een grote drempel waardoor mensen in bijv. een rolstoel niet zelfstandig naar binnen of buiten konden. Soms waren er een aantal stemmers nodig om te helpen.<br />Tweede klacht: De medewerkers achter de tafels deden alsof het een feestje was, heel popie-jopie. Bijv. een nieuw paspoort werd gillend van het lachen omhoog gehouden. Melder voelt zich in de maling genomen.Melder wil dat er respectvol wordt omgegaan met mensen die komen stemmen. melder wil ook graag een reactie per email.
Openbare Ruimte;De Admiralengracht wordt geherprofileerd een mijn zijde is een loopvlonder langs de gracht geplaatst. De bedoeling was dat er geen scheper meer konden afmeren. Echter het is nu weer een scheepskerkhof geworden. Sinds 3 dagen ligt een enorme boot voor  het uitzocht van mijn huis die net nog niet zinkt, bovendien wordt er illigaal ingewoond waarschijnlijk. Ik heb een enorme bijeenkomst  van Poolse mensen voor ons huis gehad. Kortom ik mis het mooie uitzicht enorm van de gracht. Heb niets tegen boten, maar laat het dan geen wrakken zijn. We hebben immers ook geen last van een autokerkhof, het zou fij zijn als de gracht ook zo was en dat onderhoud en reparatie van een boot elders plaats vind. Ik ben bij de bijeenkomsten van het stadsdeel geweest en daar is duidelijk gezegd dat boten er niet meer mochten afmeren, maar toch ligt het vol met reparatieboten.de bootwrakken verwijderen die de gracht ontsieren
Parkeren;Mevr was op 19 of op 24 februari 2015 bij de Stadsbank van lening om panden te herbelenen. En toen had mevrouw een sms gekregen dat er zij op 2 maart ook rente moest betalen, herbelenen. Degene aan de balie kon echter niet in de computer terugvinden dat op twee maart het pand zou gaan vervallen. Daarop liet mw de sms zien in de telefoon. De medewerkster bleef volhouden dat er niets te zien was. Vervolgens heeft mw de rente betaald voor haar goederen. Mw is pas verhuisd en ontdekte na een paar weken in de chaos van de verhuizing ineens de bewijzen van 2 maart, zij ging ermee naar de Stadsbank aan de Albert Cuyp.. Daar werd haar verteld dat de goederen van 2 maart al weg waren, naar de veiling. Mw was hierdoor geschokt, ondanks het misverstand kon men niets meer doen.De goederen zijn al weg... het had emotionele waarde. Mevrouw heeft het vermoeden dat zij niet adequaat is geholpen, zij sluit boze opzet zelfs niet uit. Mevrouw wil graag dat er uitgezocht wordt hoe dit nu kon gebeuren. Mevrouw wil als het kan toch nog dat zij haar spullen kan terug krijgen, als ze niet zijn omgesmolten. dat het tegengehouden wordt op de veiling. Het is immers buiten haar schuld en door een misverstand verkeerd gegaan.
Belasting, Werk en Inkomen;Fiets weg uit bewaakte fietsenstalling, geen enkele hulp medewerkers stallingVerlies compenseren, service verbeteren.
Parkeren;Ik heb in de bijlage een uitgebreide omschrijving van mijn klacht over Woningnet. Woningnet heeft mijn inschrijving destijds geblokkeerd waarbij er van alles is fout gegaan van kant van Woningnet.Ik zou graag willen dat de gemeente Amsterdam mij bijstaat in deze situatie door onafhankelijk onderzoek te doen en daardoor mijn oude inschrijving weer actief maakt bij woningnet.
