Categorie;Email
Openbare Ruimte;portier van Stadhuis bij de ingang Zwanenburgwal op woensdag 6 mei plm 16:40 uur heeft mij geen ontvangstbewijs gegeven toen ik hem een brief overhandigdeNee
Openbare Ruimte;Al enige weken proberen we bij het afvalpunt Sneevlietweg zakken voor plastic afval te verkrijgen. Steeds zijn ze daar niet voorradig.Nee
Parkeren;Een kennis van mij had een brief gestuurd aan de burgemeester<br />- huisadres Herengracht - waarin zij een familielid wilde aanbe-<br />velen voor een onderscheiding, vanwege zijn verdiensten voor de<br />stad. Daarop werd zij opgebeld door  iemand van de gemeente.<br />DIE PERSOON SPRAK O N V E R S T A A N B A A R     N E D E R -<br />L A N D S.Multiculureel is prachtig. Maar het gaat toch wel te<br />ver als men aan de SERVICE-telefoon mensen zet , DIE GEEN<br />NEDERLANDS SPREKEN RESP. VERSTAAN. Wat is dit  voor<br />stupide  beleid !!!Nee
Belasting, Werk en Inkomen;Ik heb mij zo een 3 weken geleden bij het stadsdeelkantoor op Amstel 1 ingeschreven, als inwonende bij mijn ouders, dit omdat ik 3 jaar in het buitenland heb gewoont en daarom dus uitgeschreven was. De meneer aan het loket wist mij te vertellen, dat ik binnen 2 dagen een brief zou krijgen met het bewijs van inschrijving. Nu 3 weken later nog steeds niets ontvangen. Hierdoor kan ik me niet inschrijven bij 'n zorgverzekeraar .Ik zou graag alsnog ingeschreven worden , zodat ik in iedergeval mijzelf kan aanmelden bij de zorgverzekeraar
Belasting, Werk en Inkomen;Geachte heer <wbr />/ mevrouw,<br /><br />Hierbij wil ik een klacht indienen over het volgende. Ik woonde voorheen in Den Haag en verhuis van gemeente, Ik wilde mij inschrijven in de gemeente Amsterdam. Nu had ik de centrale nummer gedraaid en gevraagd in welke stadhuis ik terecht kon om mijn adres door te geven. Dat kon alleen maar in stadsdeel kantoor aan de Waterlooplein. Nadat ik mij had aangemeld en ingeschreven had vroeg ik aan de mevrouw aan het loket of ik alleen in dit stadsdeel mij kon inschrijven en de nieuwe adres kon doorgeven. De mevrouw aan het loket zij dat ik mij ook in stadsdeel kantoor in Amsterdam Zuidoost had kunnen inschrijven. Door deze verkeerde informatie heb ik parkeerkosten gemaakt en heb vrij moeten nemen van mijn werk.De gemaakte parkeerkosten bedragen 3,50. Als de mevrouw aan de centrale mij het juiste informatie had gegeven dan had ik deze kosten niet hoeven te maken.Graag vergoeding van de parkeerkosten
Openbare Ruimte;Dat ik 'vermissingskosten' moest betalen naast de kosten van mijn rijbewijs. Mijn tas incl. portemonne is gestolen. Alsof ik nu nog niet genoeg geleden heb.. Ik vind het heel apart dat de gemeente extra geld aftroggeld van iemand die al de dupe is geworden is van een diefstal..Deze extra kosten terug betalen!!!
Belasting, Werk en Inkomen;Mevrouw heeft op stadsdeel Nieuw-West ingeschrevenen en geheimhouding adres aangevraagd. Vervolgens is Mevrouw toch door allerlei bedrijven en instellingen aangeschreven. Mevrouw heeft gezien dat medewerker Stadsdeel geheimhouding adres op formulier had aangevinkt.Oplossen en zo snel mogelijk. (Heb mevrouw verteld  dat het 4 weken duurt voor dat geheimhouding actief is).
Openbare Ruimte;Op 2 april wilde ik een nieuw paspoort aanvragen. Het oude was bijna verlopen.Ik zou graag willen, dat de onterechte melding van 'vermissing van mijn identiteitskaart' weer ongedaan wordt gemaakt. Want nu treft mij die blaam, terwijl het een fout van de baliemedewerker in 2010 was, die dit veroorzaakt heeft. <br />Verder zou ik het ook fijn vinden, wanneer dit niet nog een keer kan gebeuren.
Openbare Ruimte;voor inzage van het bouwarchief kan ik pas over 3 weken terecht - dat is absurd lang, dan is er een capaciteitsprobleem bij de GemeenteNee
Openbare Ruimte;Rond 14:30 uur kwam ik binnen om een paspoort aan te vragen. Ik had een pasfoto bij me en vroeg bij de receptie of deze geschikt was. Hij deed hem onder een plastic doorschijnend vel en zei dat het een geschikte pasfoto was. Vervolgens heb ik ruim twee uur gewacht en toen k aan de beurt was bleek de foto uiteindelijk toch niet te kloppen. Ik ben zwaar verkouden en ben eerder weggegaan van mijn werk. De medewerker van loket 7 kwam erbij staan en zei lacherig (met een grijns op zijn gezicht): 'ja meneer, deze foto is nou eenmaal niet geschikt. We kunnen verder ook niks doen.' Hij had geen boodschap aan mijn argument dat ik het nota bene eerder aan een andere collega van hem gevraagd had en dat hij de foto op basis van hetzelfde doorschijnende vel wel had goedgekeurd. Waar ik het meest ontstemd over ben is dat hij geen moment erkenning had voor mijn frustratie en woede en direct alles afwimpelde. De medewerkster aan loket 6 (waar ik geholpen werd) nam het toen weer over.Nee
Parkeren;Ik heb eind vorige week mijn paspoort verlengd en moest die na een week ophalen. <br /><br />A: Vermeldt gerust dat u op 1 mei als geloof ik zo'n beetje enige in de stad dicht bent!!! Heel vervelend en onnodig, terwijl ik vol ongeloof voor de dichte deur stond kwamen er nog meer mensen aan, ook allemaal stom verbaasd en iedereen vroeg zich af waarom, er stond volgens mij zelfs niets op de deur. Dit is toch weer een staaltje domme niet-klantvriendelijkheid van de eerste orde! Ik dacht, misschien is de deur defect, ik loop om, de deur aan de Amstel is wel open, het loket van de opera ook, maar u laat aan die kant de mensen zelfs hun fiets op slot doen, naar binnen lopen, en dan pas aan het eind merkt men dat de deuren dicht zijn, ook daar dus weer verschillende mensen compleet verbaasd. Zet in ieder geval daar dan een bordje 'Dicht' neer! Zucht...Per e-mail
Belasting, Werk en Inkomen;Geachte mijnheer, mevrouw,<br />Mijn partner uit Brazilie (woonachtig in Brazilie, op vakantie in NL) en ik willen een geregistreerd partnerschap aangaan. Daartoe hebben wij een afspraak gemaakt bij de gemeente, stadsdeel centrum, voor het inleveren van de M46 verklaring. Ter plekke werd onze aanvraag niet in behandeling genomen omdat gesteld werd dat er een uittreksel van het bevolkingsregister + bewijs van ongehuwdheid van mijn partner nodig zijn. Echter, op uw website staat worden naast het te downloaden formulier alleen de paspoort vermeld, als ik via de zoekmachine informatie over de M46 opzoek. Zie: http:<wbr />/<wbr />/www.amsterdam.nl<wbr />/veelgevraagd<wbr />/?productid=%7b7116B289-270B-47B2-AA69-C080A8D4CE86%7d<br />Een heel vervelende verrassing voor ons, door deze slechte informatievoorziening loopt ons geplande partnerschap en de emigratie vertraging op.Nee
Basisinformatie;Hoe is het in vredesnaam mogelijk dat De gemeente Amsterdam geld verdient aan inbrekers?? We hebben een woninginbraak achter de rug die overigens door de politie erg serieus is opgepakt waarover we erg te spreken zijn. <br />Maar nu komt het... De gemeente durft €45,- EXTRA te vragen voor een rijbewijs dat in een gestolen tas zat, dus met andere woorden je wordt nogmaals bestolen! Dat er kosten in rekening gebracht worden voor het aanvragen van het rijbewijs lijkt me logisch maar bij het tonen van een politie aangifte mag je toch aannemen dat het niet om een vermissing door schuld gaat! Inbraken leveren dus geld op voor de gemeente!<br />DUS GELD TERUG AMSTERDAM!Per e-mail
Parkeren;Ik was op 1-12-2014 bij jullie geweest om mijn bewijs van niet gehuwdheid aan te vragen. Ik heb betaald en ik wacht al 2 maanden en er is nog niks gekomen.Ik wil graag dat mijn brief wordt gestuurd op Gemeentestaat 11 2060 Belgie.
Belasting, Werk en Inkomen;Ik heb op 2 februari 2015 een aanvraag gedaan via de website voor een uittreksel Basisregistratie Personen (BRP) onder correspondentienummer 2015-0322743, maar het ontvangen uittreksel is niet compleet en bevat niet mijn 'burgerlijke staat'. Bij de aanvraag kreeg ik de volgende uitleg te zien:<br />“Op een uittreksel uit de Basisregistratie Personen (BRP) staan altijd uw naam, adres en geboortedatum. Verder kunt u zelf aangeven wat er op het uittreksel moet staan. Een pensioenfonds wil bijvoorbeeld andere informatie van u dan een woningcorporatie. Vermeld daarom altijd bij uw aanvraag waarvoor u het uittreksel nodig hebt. De medewerker die uw aanvraag behandelt, weet dan welke gegevens erop moeten staan.”<br />Ik heb toen vermeld dat het om “registratie van de partner” ging, en ging er daarmee vanuit dat de medewerker die de aanvraag zou behandelen zou weten wat daarvoor nodig was. Maar toen ik mijn uittreksel ontving stond mijn burgerlijke staat er dus niet op, terwijl ik die wel nodig heb.<br />Terugstorten van het bedrag van de aanvraag a 9,50. <br /><br />Ik heb inmiddels een nieuw uittreksel aangevraagd en al betaald om op die manier wel op tijd een correct uittreksel met de benodigde informatie te krijgen.<br /><br />Tip: wellicht een idee om een afvinklijst te maken voor informatie die op het uittreksel vermeld moet worden om dit soort verwarring in de toekomst te voorkomen?<br />
Parkeren;Op 18-08-2014 hebben wij de geboorte van onze zoon aangegeven in het AMC ziekenhuis. We hadden de naam Bram Dj Zorn in gedachten maar de ambtenaar zei dat de naam Dj niet mocht en dat we ter plekken een andere naam moesten bedenken<br />We hebben toen tegen onze zin in gekozen voor Dee-Jee maar nu blijkt dat de naam Dj wel degelijk mag in nederland want er zijn volgens de SVB en de nederlandse namenbank Meertens in 2009 2kinderen geboren die de naam Dj hebben gekregen en er zijn zelfs 6 jongens die Dj als 2de naam hebben.Ik zou graag willen dat mijn zoontje zijn naam word aangepast naar hoe wij hem wilde noemen maar wat afgewezen werd namelijk DJ
Basisinformatie;Het is mij (en veel van uw medewerkers) niet duidelijk hoe te handelen als er iemand een bezwaarschrift of een verzoek komt afgeven. Het verschilt erg per stadsdeel en het hangt heel erg af van de aanwezige medewerkers. Ik heb de klacht uitgebreid beschreven in de bijlage.Meer uniformiteit bij de stadsdelen en<wbr />/of medewerkers als het gaat om het aannemen van post en het afgeven van ontvangstbewijzen poststukken. Dat voor mij duidelijk wordt wat van mij verwacht wordt en wat ik van de medewerkers mag verwachten, zodat ik niet elke keer nog van alles moet veranderen als ik al bij het stadsdeel ben.
Openbare Ruimte;Aanvraag nieuwe paspoort heb ik ingediend op 30 maart 2015 en op 13 april 2015 ging het ophalen bij het stadsdeelkantoor Nieuw West aan de Osdorpplein 100 waar ik de aanvraag heb ingediend. Ze konden mijn paspoort niet vinden. En zou ik gebeld worden zodra het gevonden is. Op donderdag 16 april 2015 heb ik naar nummer 14020 gebeld. En nog steeds is mijn paspoort niet gevonden volgens de mevrouw die ik aan de telefoon had.Uitzoeken wat de reden is van niet kunnen vinden van een nieuw aangevraagd paspoort of uberhaupt een nieuw paspoort is aangemaakt. Nummer Gegevens aanvraag: 01-6697-0761 op 30 maart 2015
Basisinformatie;Er is voor de heer S. Mekonnen Afwerki een afspraak ingepland voor eerste inschrijving terwijl zijn kind niet in Nederland is en hier niet komt wonen. Meneer heeft dit tijdens zijn gesprek ook een paar keer duidelijk aangegeven. De afspraak had voor Burgerzaken gemaakt moeten worden, om de gegevens van kind aan de persoonslijst van vader te laten toevoegenContact opnemen om alsnog de juiste afspraak in te plannen. Namelijk het aan zijn persoonsgegevens laten toevoegen dat Dhr een kind heeft in het buitenland. Dit gebeurt alleen op afspraak bij Burgerzaken. Hiervoor zijn ook andere vereisten dan wanneer het kind in Nederland zou wonen (eerste inschrijving). Er moet dus een afspraak met meneer worden gemaakt bij Burgerzaken, graag contact opnemen met Dhr. Mekonnen hierover op 0643887245 of via wenta<wbr />_34@hotmail.com
Openbare Ruimte;op 19 maart jl. stond ik met drie paspoorten en een woonverklaring aan het loket van stadsdeel nieuw west in Amsterdam. <br />Ik heb al online een verhuizing doorgegeven vanuit een andere gemeente, maar wilde dit slechts checken of alles prima verloopt.<br />Bij check aan de balie blijkt nog niets te zijn verwerkt.<br />Echter kon de medewerker mij ook niet verder helpen omdat mijn zoon van 13 jaar zonder toestemming van zijn moeder, niet ingeschreven kan worden?<br />Mijn zoon woont al jaren bij mij en hebben dan ook het ouderlijke gezag hierin verdeeld. De ambtenaar had in het programma kunnen zien (dit heb ik overigens ook laten zien via mijn.overheid) dat mijn zoon altijd bij mij heeft gewoond en dat bij meerdere verhuizingen dit nooit een probleem is geweest voor het inschrijven naar een nieuwe woonruimte (waar dan ook).<br /><br />Op mijn klacht schriftelijk reageren waarom ik vroeg. <br />Met de middels aanwezige informatie, mij alsnog inschrijven samen met mijn zoon op ons nieuwe woonadres te Amsterdam.
Openbare Ruimte;Ik ben sinds afgelopen donderdag trotse vader van mijn tweede dochter. Aangifte van geboorte moet binnen 2 werkdagen worden gedaan. Als je dat opzoekt via de website van amsterdam.nl dan zie je dat je een afspraak moet maken. Dan opent zich (zoals bij de andere onderwerpen) de serie formulieren, waaronder een kalender om een datum te kiezen. Dat is altijd minimaal 48 uur later, voor alle zaken. Ook voor aangifte van de geboorte  -die binnen 2 dagen gedaan moet worden. Rara hoe doe je dat....<br />Bij het stadsdeel zeggen ze vervolgens bij de balie 'nee hoor, dat kan zonder afspraak...'.<br />Zorg svp dat de gegevens op de site gewoon kloppen en dat als je kiest voor aangifte van geboorte, er gewoon staat dat dit zonder afspraak kan en binnen twee werkdagen moet. Ofzo.Aanpassen van de informatievoorziening op de site.
Openbare Ruimte;Ik probeer al 4 dagen in contact te komen met stadsdeel oost om een afspraak in te plannen voor erkenning van een ongeboren kind. Ik bel 14020 waar telkens wordt gezegd dat ik niet kan worden doorverbonden. Ook krijg ik geen rechtstreeks nummer en kan ik niet online een afspraak inplannen. Wanneer ik moet terugbellen weten ze ook niet.Dat ik een afspraak kan inplannen
Parkeren;De ambtenaar Mevr.Schaft niet gehinderd  door enige kennis neemt beslissingen , waarvoor zij niet gemachtigd is.Ja
Basisinformatie;Om 10 voor 3 arriveerde burger op het stadhuis voor aanvraag van paspoort. Ze is 3 keer heen en weer gerend door de gangen volgens aanwijzingen van personeel. Om 1 minuut over 3 kwam ze eindelijk aan bij het juiste loket maar bleek het te laat te zijn. Zo kort na verplaatsing van een loket zou men toch coulant moeten zijn. Heel jammer dat ze zo strict zijn.Per e-mail
Openbare Ruimte;1) klant is het er niet mee eens dat hij een bsn nummer door moet geven bij het maken van een afspraak. Betreft inzage bouwarchief.Per e-mail
Openbare Ruimte;Beste heer <wbr />/ mevrouw,<br /><br />Op uw website had ik een afspraak gemaakt voor het ophalen van mijn (reeds aangevraagde) paspoort. 14 mei 2015 om 18:50 was mogelijk en deze datum had ik gekozen. <br /><br />Op de betreffende datum ben ik naar het stadsdeel Zuidoost gegaan, maar tot mijn verbazing was deze dicht. De gemeente Amsterdam was telefonisch niet bereikbaar. <br /><br />Ik ben me ervan bewust dat 14 mei Hemelvaartsdag is, maar omdat de gemeente Amsterdam via de website deze datum zelf heeft voorgesteld vind ik dat je er van uit mag gaan dat het klopt. <br /><br />Het op en neer reizen naar het stadsdeel heeft mij tijd gekost. Bovendien heb ik een kopie nodig van mijn paspoort en nu moet ik daar langer op wachten. Daarnaast hoop ik dat dit in de toekomst te voorkomen is. Dit zijn mijn beweegredenen om een klacht in te dienen. <br /><br />Ik wacht uw reactie af.  <br /><br />Met vriendelijke groet,<br /><br />Wenneke van Weelden<br />Nee
Parkeren;Bij het aanvragen van een nieuw identiteitsbewijs in nieuw west werd ik na 45 minuten wachten weggestuurd omdat ik ook mijn paspoort moet laten zien! Uitleg: vanwege mogelijke fraude. <br /> A. Mijn identiteitsbewijs was nog geldig.<br />B. als ik alleen een identiteitsbewijs had gehad was ik wel geholpen dus die regel voor froude slaat nergens op<br />C. Als bij nummertje trekken zoals voorheen informatie had gestaan over wat mee te nemen bij vernieuwen IDkaart dan had ik niet nodeloos 45 minuten staan wachten. Sterker nog, in de <br />wachttijd had ik makkelijk naar huis kunnen fietsen om paspoort tehalen.Nee
Openbare Ruimte;in de brief mbt verlopen van reisdocument staat dat ik afspraak kan maken. Dit kan<wbr />/lukt niet via website. pas bij telefonische navraag 14020 blijkt dit uberhaupt niet te kunnen voor mijn stadsdeel (zuid)Nee
Basisinformatie;Sinds 2 juni zijn de openingstijden van het stadsloket veranderd. Nu het stadsloket geopend is van 8-18 uur, is het voor mensen die werken of stage lopen niet meer te doen om het loket binnen de openingstijden te bezoeken. Ikzelf ga bijvoorbeeld per 1 juli stage lopen in Den Haag, waardoor ik van 8-19 uur verhinderd zal zijn. Toen in vanmiddag bij het loket was zag ik dat meerdere mensen hier al hinder van ondervonden. Ikzelf per 1 juli ook.Nee
Belasting, Werk en Inkomen;BILJETNUMMER 36043336I HAVE RECENTLY MOVED INTO MY HOUSE ON WILLEM FREDERIK HERMANSSTRAAT - I WOULD LIKE TO KNOW THE TYPES OF TAX THAT I HAVE TO PAY AND HOW AM I CHARGED? I WAS ISSUED A BILJET OF EUR41.08 PER MONTH - THIS IS WAY MORE THAN WHAT I EXPECT TO PAY PER MONTH. PLEASE COULD YOU EXPLAIN?
Openbare Ruimte;I am not anymore resident of the Amsterdam's city, I still get<br />Monthly automatique payment on my bank account:<br />GEMEENTE AMSTERDAM DIENS<br />NL85 INGB 0004 5853 29<br />- 41,13<br />SEPA Incasso algemeen doorlopend<br />Incassant: NL89DBA343669660000<br />Naam: GEMEENTE AMSTERDAM DIENST<br />BELASTINGEN -COMBI-<br />Machtiging: 338583<br />Omschrijving: Aanslagnummer:0000<br />00000000034991284 Gecomb aanslag<br />2014 Amsterdam Restbedrag eur 4<br />1,12 <br />Interest date26 Sep 2014Since the end of August I am not anymore resident of Amsterdam, I would like my money back A.U.B
Openbare Ruimte;Mevrouw heeft een dwangbevel gehad met een dagtekening van 2 oktober 2014, terwijl zij netjes betaald heeft. Mevrouw is hier niet van gediend.Dat de gemeente beter nakijkt of een rekening al dan niet betaald is en niet zomaar een dwangbevel verstuurt.
Basisinformatie;Ik ben per 09-10-2014 uitgeschreven in het bevolkingsregister van Amsterdam wegens vertrek naar het buitenland, toch wordt er nog steeds een bedrag van mijn rekening afgeschreven voor de Gecomb aanslag 2014 Amsterdam. Dit lijkt mij niet terechtUitleggen waarom dit gebeurt en eventueel geld terugstorten
Openbare Ruimte;Op 29-9-14 heb ik schriftelijk kwijtschelding aangevraagd voor de gemeentelijke belastingen. Omdat het in het verleden meerdere keren is voorgekomen dat de Dienst Belastingen correspondentie en documenten van mij is kwijtgeraakt heb ik dit aangetekend gedaan. De brief is op 30 september om 08:08 in ontvangst genomen (zie bijlage 1).<br /><br />Volgens de website van de gemeente ontvang je normaal gesproken binnen een week een beveestiging, verzoek om meer informatie of uitspraak. <br /><br />Omdat ik na twee weken nog niets had ontvangen heb ik navraag gedaan over de status (bijlage 2), waarbij in de bevestiging valt te lezen dat er dan binnen 5 werkdagen een reactie volgt. Omdat ik na 5 werkdagen geen reactie had ontvangen heb ik opnieuw een formulier ingevuld met een verzoek de status te laten weten (bijlage 3). Ook hierop heb ik geen reactie ontvangen.Ik wil graag weten waar mijn brief is en wat de status van mijn verzoek is. Daarnaast vind ik het jammer dat de gemeente op 3 momenten geen reactie geeft binnen de termijn die ze daarvoor zelf aangeeft of aangeeft dat het langer gaat duren.
Belasting, Werk en Inkomen;Op de acceptgiro's voor o.a. hondenbelasting voor mijn partner staat een rekeningnummer dat nooit van mijn partner geweest is. Hij heeft hier over gebeld en geschreven maar men weigert dit aan te passen. De enige manier voor hem om deze acceptgiro's te betalen is nu via storting maar hier zijn hoge kosten aan verbonden. De bank stuurt acceptgiro's met een gewijzigd rekeningnummer namelijk terug ter voorkoming van fraude.Het rekeningnummer op alle acceptgiro's voor mijn partner wijzigen naar het juiste nummer. En excuses dat hiervoor door ons zoveel moeite gedaan moet worden. En teruggave van eventueel extra in rekening gebrachte kosten wegens niet tijdige betaling hetgeen veroorzaakt werd doordat het nr niet juist was en mijn partner extra tijd nodig had om op andere manier dan gebruikelijk te betalen (hij heeft geen internet bankieren).
Belasting, Werk en Inkomen;This is regarding the AFV issued for the following address:<br />Gerrit Mannourystraat 49, 1062 LB, Amsterdam.<br />I am the owner of this apartment (R. Scurtu) and I am currently living abroad since September 2013. As of March 1st, 2014, the apartment was rented out to 2 persons: Karl Philip Housley and Laure Willemen, for a period of 6 months (last day of vacating was August 31st, 2014). One of these 2 persons - Karl Philip Housley - informed me that an invoice for AFV came on his name, at his new address.<br />Details are:<br />aanslagnummer: 104201494<br />biljetnummer: 36121367<br />Amount: 195.27 EURO<br />Tijdvak: 28-02 to 03-09<br /><br />My question is: who is responsible for paying this AFV invoice? The invoice came on tenant's name.<br />The second question is: as per information on your website and the brochure you send every year, AFV for Nieuw-West is 334.75 EURO<wbr />/year, for more persons living in a household. Why is the invoice 195.27 EURO instead of 167.37 EURO (half of the year amount)??
Parkeren;Geachte mevrouw<wbr />/Mijnheer,<br /><br />Ik heb een regeling met jullie getroffen over de gemeentelijke belastingen (uw kenmerk 2881954). Deze zou ik in termijnen kunnen betalen. Hiervoor heb ik in augustus contact gehad. Nu ik in de post kijk zie ik dat de afspraak is vervallen, omdat ik geen formulier ingeleverd had. Ik heb helaas nimmer een forumlier ontvangen. Ook vind ik het vreemd dat er tijdens ons gesprek geen melding van gemaakt is. Voorheen heb ik de Gemeentelijk Belastingen via een automatische incasso laten verlopen, dit is altijd goed gegaan. Graag wil ik deze regeling voortzetten.<br /><br />Gaarne uw reactie!Automatische incasso voortzetten
Openbare Ruimte;Hello, I sold my house in Amsterdam in July 2014 but I still get billed monthly on the taxes. I think they should stop?Stop the tax?<br />tx
Openbare Ruimte;Op 11 september jl. kreeg ik een boete, een paar dagen later kreeg ik de nota. Ik heb bezwaar daartegen ingediend, maar dit was niet gegrond en ik moest de boetebedrag betalen. Een paar dagen geleden heb ik dit via internet overgemaakt, later kreeg ik de nota met verhogingGeen vehoging opleggen
Openbare Ruimte;Op 12 september ontvang ik een brief over de verlaging afvalstoffenheffing 2013 (kenmerk 368655). Op 13 september een brief waarin staat dat de verlaging wordt verrekend met een openstaande parkeerboete (geen kenmerk).<br />Die parkeerboete is mij ten onrechte opgelegd, Cition heeft mij in een brief van 11 juni (kenmerk 14.U.12377) in het gelijk gesteld van mijn bezwaar.<br />Inmiddels heb ik drie keer gebeld met DBA, de laatste keer gisteren, maandag 17 november 2013. Ook deze keer - en de vorige keer - werd mij beloofd dat ik binnen 24 uur teruggebeld zou worden. Ook dit keer is dat niet gebeurd. <br />Mijn klacht is drieledig: ongevraagd wordt een te restitueren bedrag van een openstaand bedrag afgetrokken, er worden beloften gedaan (= voorschrift DBA) die niet worden nagekomen, het bedrag is nog altijd niet gerestitueerd.Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:
Basisinformatie;Mijn WOZ referentie 755310 - mevrouw is geselecteerd om mee te doen met het project Mijn WOZ, echter heeft mevrouw geen computer en geen DigiD. Zij voelt zich buitengesloten van deze proef. Ze is het al jaren niet eens met de WOZ voor haar woning en had op deze manier willen kijken hoe de waarde bepaling tot stand is gekomen en die mogelijkheid wordt haar ontnomen. Mevrouw woont in een appartementencomplex waar een behoorlijk aantal woningen renoveerd zijn, waardoor de waarde van die woningen hoger ligt dan van mevrouw.  <br /><br />Hoe kan mevrouw toch de waarde van haar woning bekijken en eventueel veranderen. <br /><br />Ze is bereidt ondanks haar leeftijd en het feit dat ze moeilijk loopt naar het hoofdkantoor te komen om dit met een medewerker van DBGA door te nemen. Een andere oplossing zou zijn een schriftelijke vragenlijst. <br /><br />Is wel tevreden met het feit dat er nu mensen binnen de gemeente de mogelijkheid krijgen om direct invloed uit te oefenen op hun WOZ.
Basisinformatie;b e z w a a r s c h r i f t !!!ik heb een uitkering en krijg steeds aanslag waternetbelasting en heb al meer dan 95euro betaald deze week en nu volgt er een aanslag van 260euro . denken jullie daar dat ik een geldboom in de tuin heb ? wat is dit voor een graaicultuur? bovendien heb ik kwijtschelding gehad dit jaar voor afvalstoffenheffing biljetnummer 35833240 jaar 2014 328,80euro kenmerk s360852 <wbr />/k1722226 dd 16juli2014dat ze eens en voor altijd beseffen dat ik van een uitkering moet rond zien te komen . ik heb vroeger altijd belasting betaald en door automatisering ben ik werkloos geraakt .nu word ik extra geplukt van mijn uitkerinkje !
Openbare Ruimte;dear , we receive letters from you for the company Brazil en Zo - with adress rue capitaine crespel 18 - 1050 - brussels - belgium - and there is no company here at this name - please check your reference 3583483 - please note that at this adress there is the company  horeco sa - a belgian company and never there has been the company  ' brazil en zo vof' like you mention  - if you need you can contact us at +32 2 511 0292 or info@horeco.be - best regards
Parkeren;Dear Sir or Madam,<br />I am writing to you because you are charging me for a 'late' payment. However due to the circumstances around the late payment I believe I should not be charged for this. I have had previous correspondence with you where it was stated I would not be receiving any more bills and therefore I have not updated you with my new address and as a consequence I have only just received the bill. <br /><br />Dear Mrs Gaughran,<br /> <br />I have received your message dated 29<wbr />/9<wbr />/14.<br /> <br />I can confirm that you were deregistered from Amsterdam on 19-07-2014.<br /> <br />The bill you received was for the period 10-03-2014 up until 19-07-2014. You will not receive any more bills from Dienst Gemeentelijke Belastingen in the future.<br /> <br />Questions?<br />If you have further questions? Please dial +31 20 624 1111, the number of Gemeente Amsterdam (from 08.00 till 18.00 from Mondays untill Fridays). Or send an e-mail via<br />the contact form.<br /> <br />With kind regards,<br /> <br /> <br />Marja Gillissen <br />Medewerker Contact Center<br />
Openbare Ruimte;Twee klachten: <br /><br />Gemeente heeft niet tijdig gereageerd op bezwaarschrift. Zonder enige reaktie naar de klant.  <br /><br />Specificaties zijn wel binnen gekomen. Maar de bezwaar brief niet. Maar is wel in een envelop naar de gemeente verstuurd. <br /><br />Dat de gemeente nu wel een reaktie geeft aan Mevr. Bronkhorst. Haar client.
Openbare Ruimte;Ik heb mij digitaal aangemeld voor de Toereistenbelasting, maar u blijft mij brieven sturen en u dreigt om ambsthalve een aanslag op te leggen als ik mij niet aanmeld, maar ik BEN al aangemeld, digitaal namelijk.Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:
Basisinformatie;N.a.v. een ontvangen brief met ref. 2014-12-01 heb ik telefonisch contact gezocht met mevr. A.H.E. de Gruijter en werd onfatsoenlijk tewoord gestaan na vragen over de onderbouwing van de verklaring in de brief.Antwoord geven op de vragen die ik stelde. Hier is vooralsnog geen antwoord op gegeven. Excuses voor de onfatsoenlijk benadering lijken mij ook op zijn plaats.
Parkeren;Zojuist heb ik namens mijn nicht telefonisch contact gehad met medewerkers van de Dienst Belastingen via telefoonnummer 020-2554333.<br />Het eerste gesprek is gestart op 12.39 uur en heeft 9min12sec geduurd. De meneer met wie ik poogde een gesprek te voeren heeft het gesprek beeindigd omdat hij zich persoonlijk aangesproken voelde. Het is zijn werk om mensen die om hulp vragen te helpen, zonder zich persoonlijk aangesproken te voelen. Ik ken deze meneer niet en heb verder ook niets met hem te maken. Wel kan ik zeggen dat hij zeer klantonvriendelijk en onbehulpzaam is. Toen ik opnieuw belde om 12.49 uur, heeft dit gesprek maar 20 sec geduurd, omdat hij zijn collega instrueerde om op te hangen!!! Dit kan echt niet!!!!! Ik heb vervolgens weer gebeld om 12.50 uur, en dit gesprek heeft 4min 21 sec geduurd. De mevrouw die ik nu sprak heeft mij wel geholpen. Me dunkt dat meneer van het eerste gesprek en mevrouw van het tweede gesprek een voorbeeld aan haar kunnen nemen.Uw medewerkers duidelijk maken dat ze daar zitten om de burgers te helpen. Niemand heeft een probleem met hen, ze moeten niet alles persoonlijk aantrekken en dan beledigend en denigrerend te werk te gaan.
Openbare Ruimte;Van de dienst belastingen gemeente Amsterdam heb ik een brief( herinnering gecombineerde aanslag met nummer: 36043718) gekregen met dagtekening 16-12-2014, ik werd verzocht om die binnen 7 dagen te betalen anders zullen er extra kosten bij komen. <br />Ik had kwijtschelding aangevraagd die is afgewezen en tegen dat besluit ben ik in beroep gegaan, er is tot nu toe nog geen beslissing genomen.<br />Bij mijn weten hoef ik de aanslag ook nog niet te betalen zolang er een beroep loopt.<br />Ik heb op 16-12-2014 met een van uw collega’s gebeld om hierover meer informatie te krijgen, zij kon op dat moment de afdeling die er over gaat niet bereiken, toen had ze beloofd dat ik binnen 24 uur terug gebeld zou worden, maar ik heb toe nu toe niets vernomen, <br />mijn vraag is:<br />-moet ik het aanslag betalen ook als er nog een beroep tegen loopt?<br /><br />oplossen
