Categorie;Inhoud 1;Inhoud 3
Belastingen;Geachte mevrouw<wbr />/meneer,<br /><br />Ik heb ruim vier weken geleden telefonisch contact genomen met het telefoonnummer 020-255-4800 om het kwijtscheldingsformulier per direct aan  te vragen, omdat ik het formulier niet (meer) heb.<br /><br />Vandaag heb ik weer gebeld, omdat ik geen bericht heb gekregen. Jammer genoeg heeft de mevrouw aan de lijn mij moeten vertellen dat er nooit iets is verzondenof genoteerd n.a.v mijn telefoongesprek vier weken geleden.<br /><br />Bij het eerste gesprek, vier weken geleden, kreeg ik vermeld dat ik nog weinig tijd had om kwijtschelding aan te vragen voor de gemeente belasting voor afvalstoffen en ook voor waternet. <br /><br />Ik ben erg teleurgesteld, omdat ik het formulier niet netjes op tijd heb ontvangen en in dit geval niet eens verzonden is.  Daarbij valt de tijdsperiode die ik heb gekregen om nog een teruggave Te kunnen ontvangen voor kwiitschelding weg!<br /><br />Uiteraard wil ik hierbij graag bij de aanvraag van mijn nieuwe formulier de datum van mijn eerste aanvraag aanhouden,;Ik wil graag dat mijn kwijtscheldingsverzoek rekening houdt met deze fout dat er niks is verzonden vier weken geleden en ik uitstel krijg van de einddatum dat mijn kwijtscheldingsverzoek voor afvalstoffenheffing en waternet word verlengd<wbr />/ uitgesteld.
Belastingen;Middels dit schrijven, hoop ik dat u onmiddellijk de onterechte en waanzin beslaglegging op mijn bijstand stopzet! Anno mei jongstleden wordt er namelijk ca. 50,- maandelijks in beslag genomen door het DBGA! Dit vind ik geheel onterecht.<br /><br />De zaak is immers bij mw Bamfo bekend en zoals u weet, loopt de zaak nog bij de Rechtbank te Amsterdam en zolang de rechterlijke macht zijn oordeel niet gegeven heeft, verwacht ik dat u begrijpt dat de zaak nochtans loopt en dus nergens op slaat dat u zomaar beslag laten leggen!<br /><br />Mevrouw Tency van de rechtbank, heeft de zaak in behandeling genomen en dus heeft de griffie het nog niet aan de rechter voorgedragen, anders kreeg ik al bericht hierover.<br /><br />Wat ik absoluut niet begrijp en volkomen onzin vindt, is dat men zomaar beslag op mij legt - terwijl de zaak nog loopt en dus de rechter niet gesproken heeft, en zolang de rechter dat niet gedaan heeft is het ongebruikelijk en erg laf om iemand aan te merken en diegene het te laten betalen.;Dat de beslaglegging (geheel onterecht), de zaak loopt nog bij de rechtbank Amsterdam. Contacteer mevrouw Tency maar en ik begrijp ook niet echt waarom mevrouw het niet wat sneller kan afhandelen. Echter is het van essentieel belang dat ik mijn bedrag terugkrijg, het bedrag dat onterecht in beslaggenomen is door u en dat de stopzetting in deze stopt!<br /><br />Totdat de rechter zijne uitspraak heeft geveld - dan pas kunnen we zien we er gelijk had al die tijd. De zaak loopt immers nog nu, sinds gister, exact een jaar al en ik wil mijn recht.  Stopzetten van de onterechte sanctie alsmede (!) het terug te betalen bedrag wat medio mei dit jaar gaande is. Ik vind het echt belachelijk en ik wil dat u mij gaarne maandag of dinsdag hierover contacteert. Het was trouwens zo dat ik mijn griffierkosten destijds niet (op tijd) betaalde en nu wil dat ik doen, maar dan moet dat bedrag terugbetaald worden en stoppen met het beslagleggen. Anders neem ik verdere stappen ook tegen u.
Belastingen;Hallo DGBA,<br />(ik wist niet onder welke noemer ik het beste kon schrijven: vraag, melding, of klacht). Op 1 April ben ik van de 1e C. Huygensstraat 108 bel (of hs) naar mijn tijdelijke adres (wisselwoning i.v.m. renovatie 1e C. Huygensstraat) gegaan aan de Marnixkade 87 B. Mijn Waternetbelasting aanslag was in April abusievelijk naar de 1e C. Huygensstraat gestuurd. Ik kreeg maar steeds geen aanslag en heb het bedrag net per overschrijving overgemaakt na contact met Waternet.<br />Voor de Afvalstoffenheffing heb ik ook nog geen aanslag gekregen en ik ben bang dat deze aanslag misschien ook naar de 1e C. Huygensstraat is gestuurd. Zou U kunnen nakijken hoe dit zit en me mocht ik dit bedrag nog moeten betalen een acceptgiro sturen naar de Marnixkade.<br />Bij voorbaat dank. Op het einde van het jaar kan ik weer terug naar mijn gerenoveerde woning aan de 1e C. Huygensstraat 108 bel (of hs).;
Belastingen;I got a Parkeerbelasting with the Biljetnummer 36110478 and the Betalingskenmerk 8000 0000 3611 0478 but I paid a Parkeerticket.<br />Betaald van 3-10-2014 14:16 Betaald tot 4-10-2014 14:16 and Betaald van 4-10-2014 11:20 Betaald tot 5-10-2014 12:00<br /><br />I don't know what went wrong?;I don't want to pay the Parkeerbelasting because there was no information at the Parkeerautomat that I have to pay in another area again!
Belastingen;Ik verblijf af en toe in amsterdam en krijg een afvalstoffenheffing voor een meerpersoonshuishouding.<br />Biljet nummer 36750216<br />Betalingskenmerk 2000 0000 3675 0216<br />Waarom?<br />Elisabeth Maria van Swaay-Damen;Nakijken of het bedrag van de heffing juist is
Belastingen;Geachte heer<wbr />/mevrouw,<br /><br />Onlangs heb ik een brief ontvangen over het betalen van een gecombineerde aanslag. Het biljetnummer is: 35009891. Ik zie staan dat ik het bedrag van 164,50 binnen zeven dagen moet betalen. Echter ga ik in bezwaar. Ik heb geen woning waarover ik een gecombineerde aanslag moet betalen. Ik ben het niet eens met deze brief en ik ga het dus niet betalen.<br />Graag krijg ik antwoord per e-mail. <br /><br />Hoogachtend,<br /><br />Hassan el Baghdadi <br />;
Jeugd en Zorg;Mijn moeder, mevrouw H.M. Wilders-Hoogvliet, geboortedatum 29-03-1924, overleden 02-08-2014, was in het bezit van een scootmobiel geleverd door de WMO. Ik heb reeds diverse keren gebeld dat hij opgehaald moet worden maar gisteren bleek dat hij nog steeds bij verzorgingshuis de 3 Hoven te Amsterdam staat.<br />Hij moet daar weg en anders haalt het verzorgingshuis hem weg wat voor de nabestaanden een forse rekening betekent.;Per direct scootmobiel op laten halen.
Jeugd en Zorg;Dhr T. Deckers is uitgescholden door een chauffeur van (mogelijk)bijzonder vervoer van de gemeente Amsterdam. Kenteken: 12-TLX-5. Minivan wit met rode letters. Deze heeft dhr T. Deckers en dochter bijna omver gereden. Bij rood licht reed minivan op taxibaan, stopte niet voor de witte streep,bijna op zebrapad. Fiets met baby (dhr Deckers) en hond sorteert voor op zebrapad, geen ruimte om links voor te sorteren. Licht gaat op groen en chauffeur geeft fietsers geen ruimte om links af te slaan en chauffeur wil rechtdoor over de tegemoetkomende verkeersbaan. Vervolgens wordt dhr. Deckers uitgescholden.;Dhr Deckers wenst dat deze chauffeur een waarschuwing krijgt en zal dit melden bij de politie.
Jeugd en Zorg;3 wielfiets met hulpmotor met kapotte achterrem;harting-Bank moet een leen 3 wielfiets met motor verstrekken Client krijgt scootmobiel als vervanging
Jeugd en Zorg;Connexxion wil geen opstapje gebruiken om client te laten instappen. Nu kan client niet vervoerd worden, alleen met kleine taxi, of grote taxibussen waar automatisch trap naar beneden komt.;Geen grote taxibus laten komen, maar kleine taxi zonder opstap.
Jeugd en Zorg;Mevrouw heeft een aanvraag gedaan voor o.a. hulp bij huishouden en persoonlijke verzorging. Haar aanvraag was afgewezen, klant was niet in bezwaar gegaan omdat haar gezondheid het niet toe liet.;Mevrouw wil de zorg krijgen die zij nodig heeft
Jeugd en Zorg;Een van mijn taken als combinatiefunctionaris is het door laten stromen van leerlingen vanuit een schoolse situatie naar een sportvereniging. Dit kan een naschoolse activiteit zijn of een verenigingsactiviteit. Mijn klacht heeft voornamelijk betrekking op leerlingen met een verstandelijke beperking. Deze kinderen zijn vaak om uiteenlopende redenen afhankelijk van AOV vervoer. Twee veelvoorkomende redenen zijn: niet zelfstandig kunnen reizen, ouders kunnen niet halen<wbr />/brengen. Het aanvragen van een AOV pas is in principe niet lastig. Ik vraag zo'n pas regelmatig aan voor leerlingen en binnen 10 minuten ligt de aanvraag bij de MO zaak. Vervolgens wordt een leerling geindiceerd. Wanneer een ouder zo'n pasje aanvraagt krijg ik regelmatig te horen dat de aanvraag is afgewezen. Vaak is de reden dat een leerling zelfstandig zou kunnen reizen. Dit is echter niet het geval.;Ik zou graag zien dat de regeling voor het aanvragen van een AOV pas zo wordt dat alle leerlingen die dit vervoer nodig hebben ook in aanmerking komen. Er zijn aanvragen die worden afgewezen omdat een kind zelfstandig zou kunnen reizen. Ik werk dagelijks met deze doelgroep en weet dat dit niet mogelijk is. Consequentie van de lastige situatie is dat leerlingen thuis komen te zitten en niet naar de sportclub (of andere vereniging) kunnen gaan. Ik hoop dat u mij en mijn collega's (en ouders<wbr />/verzorgers) kunt helpen duidelijk te krijgen wat nodig is voor het in aanmerking komen van de pas en hoe we ze vervolgens ook duidelijk kunnen vertellen welke stappen mbt betaling nodig zijn.
Jeugd en Zorg;Ik heb bij de Dienst Wonen Amsterdam een medisch urgentiebewijs aangevraagd, omdat ik ernstig ziek ben. Ik heb ernstig longemfyceem en heb sinds kort een scootmobiel, zodat ik weer een beetje weg kan. Ik ben meerdere keren bij de longarts in het OLVG geweest en hij is bezig met aanvragen van onderzoeken in Rotterdam in verband met een eventuele longtransplantatie. Ik kan nog geen 1 minuut lopen zonder heel erg benauwd te worden en te puffen. Alle informatie is te achterhalen bij de longarts, longverpleegkundige, huisarts en fysiotherapeut. Ik woon nu op 1 hoog en ben in het bezit van de bevestiging voor verhuiskosten via de MO zaak. Volgens de Dienst Wonen bestaat er geen medische indicatie meer, maar ik moest wel naar de medisch arts voor een keuring. Binnen 10 minuten was het hem duidelijk dat ik volledig recht heb op een urgentiebewijs. Ik kreeg toen een urgentie 'voorrang voor voorrangskandidaten'. Mijn klacht is te lang, ik stuur deze mee in bijlage;Ik zou het zo fijn vinden als iemand begrijpt hoe het is, zonder dat ik medelijden wil opwekken. Ik heb niet het gevoel dat ik serieus genomen wordt als ik bijna alleen maar etagewoningen krijg aangeboden door Woningnet. Ik voel me machteloos en wil gehoord worden.
Jeugd en Zorg;Welzorg belooft vanaf juni 2014 nieuwe accu te leveren voor scootmobiel.;De nieuwe accu installeren op scootmobiel.
Jeugd en Zorg;Marnixbad is enkel gedurende een aantal uren voor het publiek geopend. Dit is gemeente zwembad, maar die wordt meer toegankelijk voor rijke lui en gesubsidieerde gemeente ambtenaren  die SENTO lidmaatschap zich kunnen veroorloven (aftrek van de belastingen) waardoor het publiek maar moet kijken wanneer het publiek zwemmen mag!;Openingstijden voor het zwemmen in grote bad van 7 tot 22 uur hebben, zonder privileges van sportclubs voor exclusieve openingsuren voor de rijke lui. Dit veroorzaakt KLASSEN MAATSCHAPPIJ!
Jeugd en Zorg;weer LAAT FIRMA VAN DE LEY HET AFWETEN BIJ EEN DEFECTE DEUR DEZE  FIRMA HEEFT IN OPDRACHT VAN WMO  DE ZORG OPGENOMEN WEGENS HANDICAPS EEN AUTOMATISCHE TE ONDERHOUD DEZE WEEK IS HIJ VOOR DE TWEEDE KEER DEFECT BELLEN HELP WANT ZE KOMEN NIET ONDANKS BELOFTE HOND DOET ZIJN BEHOEFTE BINNEN EN IK KAN NIET NAAR BUITEN<br />GAARNE UW REACTIE HIER OP;ACTIE ONDER NEMEN
Jeugd en Zorg;Mw. zou gebeld worden ivm een WMO aanvraag voor haar neef. Ze kreeg te horen dat het WMO systeem momenteel storing heeft, en dat daarom op dit moment het gesprek niet gevoerd kan. Er is aangegeven dat mw. morgen terug gebeld gaat worden, hier is mw het niet mee eens.;Dat het systeem het doet, zodat de aanvraag afgehandeld kan worden op de afgesproken tijd
Jeugd en Zorg;Geachte lezer,eind december ontvingen we uw schrijven,briefnummerBr-151,kenmerk 46145-3-Wmo met de mededeling dat de voorziening reeds geleverd zou zijn door Harting-Bank.Door verblijf in ziekenhuis  reageer ik zo laat.De voorziening is tot op de dag van vandaag nog niet geleverd.Dat wil ik melden.;
Jeugd en Zorg;Klachten over een buur.;Goed controle hoewel mensen wonen daar. <br />Dit is een klein appartement, en wij zien dat altijd nieuw mensen wonen daar enkele maanden, en na weer nieuw iemand komt.<br />Kunt u echt goed controle , wie woont daar en waarom is komt na enkele maanden nieuw mens?<br /><br />Dank u wel.<br /><br />Buren
Jeugd en Zorg;Mijn naam is Fem Buur, en de klacht gaat over het leerlingen vervoer van mijn broertje Bram Buur.;Ik zou het fijn vinden als mijn broertje (Bram Buur) via een andere taxi naar school kan worden gebracht.
Jeugd en Zorg;Een rit geboekt met Connexxion 08:30 uur rit besteld voor 10:30 uur. Meneer heeft 25 minuten gewacht. De telefoniste vertelde dat er om 10:45 uur geboekt was i.p.v. 10:30 uur.<br />De chauffeur had toen nog 2 kalnten, toen werd het te laat voor de afspraak van client.;
Jeugd en Zorg;Mijn klacht gaat over wtcg korting van 33% die vervallen is in 2015 en het uitblijven van de gementelijke communicatie hierover.<br />;Ik zou graag een persoonlijke brief willen waarin het beleid en ook de vervangende voorziening wordt uitgelegd.
Jeugd en Zorg;Zojuist is in Stadsdeel de Baarsjes, op de Chassestraat, het vuil opgehaald, uit de ondergrondse containers. Hier is ook even gekeken naar de containers door de vuilnismannen, aangezien er iets niet goed leek te gaan. De container is op z'n kop gekeerd op straat en nadat het probleem opgelost leek, weer teruggeplaatst. Hierbij is het nodige vuil naar de containers en op straat terechtgekomen. Dit is niet opgeruimd door de vuilnismannen. Dit lijkt mij niet de bedoeling. De vuilinisservice is er volgens mij om het vuil van straat te verwijderen, niet om het rommeliger te maken. Ik zou graag zien dat dit zsm wordt opgelost en niet meer gebeurd! Wij zijn hier met z'n allen verantwoordelijk voor de buurt en daarbij horen ook de vuilnismannen met hun diensten!;Opruimen en de vuilnismannen aanspreken hierover, zodat dit niet nog eens gebeurt.
Jeugd en Zorg;s Nachts en overdag (onregelmatig) een nare piep hoorbaar van buiten. De piep houdt even aan, stopt en begint dan weer. De piep is ook binnenshuis hoorbaar. Slaapkamer ligt aan de tuinkant (is achterkant) en heb al 2 nachten niet geslapen hierdoor. Ik kan de tuinen niet in en daarom ook niet achterhalen waar het vandaan komt. Ik kan mij niet voorstellen dat ik de enige ben. Op het balkon hoor ik het zeer duidelijk door de tuinen.;Opsporen waar de piep vandaan komt en verhelpen.<br />Is het een apparaat tegen hangjongeren, is het een brandmelder, is het een anti-katten apparaat. Ik zou het niet weten.
Jeugd en Zorg;Harting Bank doet te lang over het bakijken van een defecte scootmobiel.;Harting Bank korter dan 2 weken geven om scootmobiel om te ruilen
Jeugd en Zorg;Ik heb vorige week gevraagd waarom ik de door mij ingediende de laraties betreffende taxivergoeding en onderhoud trike via pgb nog niet ontvangen heb. Ik kreeg mail terug dat er onvoldoende gegd rns waren, maar niet wrlke. Ik wacht nog steeds op reacte. Aangezien ik op vacantie ben, ben ik niet telefo usch te bereikeN a.witzen, 19081947, bsn 088942879;Mij gaat mailen waarom het geld nog niet is overgemaakt. Ik ben telefonisch niet bereikbaar, mailadres is a.witzen@upcmail.nl
Jeugd en Zorg;ondraaglijke geluidsoverlast door bouwwerkzaamheden.<br />ongelooflijk dat iedereen in zijn huis maar kan hakken drilboren en hameren, zonder ook maar enkele rekening met leefbaarheid, buren of buurt te hoeven houden... geen enkele communicatie of aankondiging (dat zou het nog iets draaglijker maken) . Geen wonder dat sommige mensen gekke dingen gaan doen - uit wanhoop!;wat dacht u van 'ingrijpen'??????
Jeugd en Zorg;Scootmobiel is vanaf levering niet in orde.;Eeen ander type scootmobiel.
Jeugd en Zorg;De super slechte behandeling van de herer van Wel Zorg <wbr />/ al van de levering van de nieuuwe scootmobiel <br />Mijn scootmobiel is in het Luca  Andreas Ziekenhuis gestolen .<br />Ik krijg van u Firma en prachtige nieuwe scootmobiel op DD-16 –05 -2013 !!.<br />Maar bij diefstal behoor ik een scootmobiel met zelfde vermogen terug te ontvangen en 2 spiegels en bij aflevering .... de verzekerings papieren!! { zijn er niet bij } ????<br />Nu reed ik van het begin af op 73 AMPERES <wbr />/ ACCU,S  met mijn eerst geleverde scootmobiel <wbr />/ voor de diefstal net nieuwe er in  !!!<br />Na een hoop ellende zijn via de gemeente deze geplaatst <wbr />/ dan het vracht mandjedat is nu net verleden week geleverd, ook een drama want je schuift het er in knop vast klaar.<br />Monteur moest en zou het er op monteren anders nam hij het weer mee, ik zeg..... ik tekende bon af en klaar is de zaak na een 7 maanden <wbr />/ terwijl ik het ook met J.PS had gestuurd had kunnen krijgen was afgesproken, maar kozen voor andere.<br />;Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:
Jeugd en Zorg;Zeer geachte Heer 							Amsterdam.5-2-2015<br /><br />Hierbij vraag ik  U welwillende  aandacht voor een probleem waarover ik mij zorgen maak.<br />Mijn Zuster  heeft een scootmobiel gekregen en de  voorzieningen van een pad en hek in de tuin. alles  keurig ,over de firma dus geen klacht.<br />Maar zo een berging (groene kast ) werd niet meer geleverd ,ze kreeg een hoes voor over  de mobiel.<br />Mijn zuster heeft astmatische bronchitis, een heup gebroken  die nooit goed gekomen is,en heeft   reuma aan de hand. En hoopt in mei 88 jaar te worden.<br />Ik vind het dan ook niet normaal dat zij, omgebruik te kunnen maken van de voorziening  in regen ,wind en sneeuw met een zeiltje moet gaan staan scharrelen .<br />Dit motiveert niet bepaald  het gebruik en doel van die Scootmobiel.<br />Ik vraag u dus bij deze de noodzakelijke bering te verzorgen voor haar ,al is het een gebruikte.<br />Het gaat om Mevr. S.T.Antoniesen. 		Opijnenhof  1<br />           		1106 XN Amsterdam<br />Kenmerk 58747 -  3 - Wmo        van 24- 0ktober- 2014, B;Het verzoek in behandeling nemen ,had de brief verstuurd naar amstel 1 raadhuis
Jeugd en Zorg;De bewoners van de A.Bijnsstraat nummer 23 zijn hun erf voor meer dan 70% aan de vertimmeren ( een dak maken). Deze hebben geen vergunning voor gekregen.<br />Daarnaast hebben ze geen rekening gehouden met de erfafscheiding.;Ik zou graag willen dat de inspectie A. Bijnstraat nummer 23 een bezoek aflegt
Jeugd en Zorg;Zie SBS 6 betreft lange Frans zijn kinderen waar zijn schoonmoeder niet op mag oppassen omdat ze bij de socialedienst zit.<br />Jullie zijn allemaal van de pot gerukt, niet sociaal maar asociaal !!!!!<br />Wat een stel kakkerlakken zijn julie. Om te kotsen!!!!!;
Jeugd en Zorg;Cl heeft een beschikking hbh pgb tot eind 2015. Maar het svb heeft hulpverlener het eerste kwartaal van 2015 niet uitbetaald. Cl heeft paar keer gebeld svb is niet bereikbaar krijgt een antwoordapparaat dat zij niet bereikbaar zijn.;De hulpverlener moet pgb ontvangen en het svb moet beter bereikbaar zijn.
Jeugd en Zorg;Ik ben de bewoner van De Savornin Lohmanstraat 405. Ik heb geluidsoverlast van en door sportschool die sinds vorige weekonder nr 401 gevestigd is. We hebben met de eigenares uitgenodig om mee te maken hoe erg geluid is. Ik ben met mijn buurman gegaan. Sportschool is boven zijn huis gevestigd. <br />Eigenares van de sportschool gaf ons gelijk en bood excuus. Vorige week dinsdag zei ze dat ze achteraan zou gaan en woningbouw verzoeken om isolatie te regelen voor de geluid. Volgens haar weiger de woningbouw isolotie te regelen omdat zij niet nodig vindt. Ik heb woningbouw gebeld en zij zeggen dat ze procedures hebben dat alles schriftelijk moet gebeuren. <br />Ik heb vorige week de politie gebeld. Werd door de politie geadviseerd de gemeente hierover te benaderen. Sinds vorige week zit ik met oordopje in mijn huis tot activiteiten klaar is. Groepsactiviteiten duurt tot 10 uur. <br />Tevens wil ik van u weten of de sportschool niet instrijd is met de bestemmingsplan van de Savornin Lohmaanstraat.;Ik verzoek gemeente dat even langs komt en kijkt of mijn klacht gegrond is. Zo ja even tussen woningbouw en sportschool bemiddeld dat probleem opgelost wordt. Tevens wil ik van de gemeente weten of onder de woonruimte sportschool gevestigd worden en<wbr />/of groepsactiviteiten plaats mag vinden. Werkelijk woon sinds vorige week in een discotheek. Niet alleen de platfoon is horig. Maar de muren zijn erg gehorig voor deze doeleinde. Als kom ik mijn alle verplichtingen zo goedmogelijk na. Zo doende verzoek ik de gemeente als algemeen dinende namens burger zo snel mogelijk deze stuatie op te lossen en<wbr />/of bemiddelen. Dit is ernstig misbruik op mijn genotsrecht.<br /><br />Met vriendelijke groet, <br /><br />Kimet Kaynak<br /><br />mijn telefoon 06 40820555
Jeugd en Zorg;Dienst geeft verkeerde informatie. Gevolgen voor meneer zijn groot. Meneer REKENDE op een urgentiebewijs want de voorwaarden waren hem meegedeeld dat hij van de laatste 3 jaar 2 jaar ingeschreven moest staan in Amsterdam. Bij tweede gesprek bleek dit niet door te gaan wegens: nu bleek het hele gezin aan die voorwaarde te moeten voldoen.;Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:
Jeugd en Zorg;Momenteel reis ik de wereld rond en ben ik per internet<wbr />/post niet of nauwelijks bereikbaar. Nu vernam ik, dat u voornemens bent om mij uit te schrijven op de Sloterkade 8.2 te Amsterdam: uw kenmerk 126408 - n. de danf;Mij niet uitschrijven in uw Gemeente Amsterdam. Ik meld mij zo gauw ik in Nederland ben
Jeugd en Zorg;6 maart 2015 heeft zich een vervelende situatie voorgedaan met meneer Gaston Gijn. Hij heeft de telefoon opgehangen.;Oplossing
Jeugd en Zorg;Ik heb een scootmobiel van de firma welzorg de scootmobiel is veelte klein voor mij maar welzorg wijst mij naar jullie en jullie naar welzorg.;contact opnemen met welzorg de heer Prins van de afdeling klachten van welzorg zelf
Jeugd en Zorg;Tot 3x aan toe geeft wijzorgteam IJburg het telefoonnummer van helpdesk voor individuele begeleiding aan te vragen.;Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:
Jeugd en Zorg;Klacht over Beenhakker en de service.;Een andere leverancier, mevrouw Kenter is contactpersoon is partner, wil van Beenhakker naar Welzorg overstappen, ze wil dat de gemeente dit regelt.
Jeugd en Zorg;Sinds mevrouw de scootmobiel heeft worden er onderdelen van haar scootmobiel gestolen. Hierdoor moet mevrouw contact opnemen met Welzorg om de gestolen onderdelen weer te laten vervangen. Mevrouw heeft dit al drie keer moeten doen wat geld kost. Mevrouw vraagt zich af of de gemeente dit kan voorkomen door bijvoorbeeld standaard een alarm (camera) te leveren bij de scootmobiel wat nu dus niet aan de orde is.;Dat de gemeente standaard beveiliging levert bij het uitgeven van een scootmobiel. Mevrouw betaald nu een verplichte eigen bijdrage (vanaf 18<wbr />/5<wbr />/2015) wat geen probleem is maar het is zonde om geld te betalen terwijl de onderdelen worden gestolen en uiteindelijk weer nieuwe onderdelen geleverd moeten worden. Dit kost de gemeente ook geld.
Jeugd en Zorg;JGHHorn BS nr. 050191561, scootmobiel , grootprobleem met rijden , staat( stond op de meest onveilige plaatsen stil, (druk kruispunt<wbr />/ spoorovergang, tijdens het rijden op openbareweg, fietser reed achterop , auto kon op meter afstand stoppen . WMO leverancier is Harting Bank te Weesp, problemen dateren van af begin Juli2014 , scoot is nu per 30-9-14 weer in reparatie , zit momenteel erg om T'hand, gevraagd voor reserve scoot mobiel Wasniet aan wezig,;Bij deze vraag ik U deze scootmobiel van de weg af tehalen , de Leverancier is tot op heden zeer korrektie naar mij toe geweest.
Jeugd en Zorg;Ik probeer mijn moeder in te schrijven voor een huurwoning via woningnet. Nu ontdek ik dat de verhuurder extra 'voorrangskenmerken' hanteert: dit is in strijd met de regels die de dienst wonen hanteert. 'Om de verdeling v woningen eerlijk te laten verlopen zijn er regels afgesproken'. Dienst wonen kijkt niet of regels worden nageleefd. Het is erg vreemd dat een verhuurder hier zijn eigen regels kan bedenken.  Ik vrees dat dienst wonen hier geen verantwoordelijkheid wil nemen. Als hulpbehoevende wordt je hier in Amsterdam geheel het bos in gestuurd.;Hulpbehoevenden daar helpen waar dat nodig OS.  Regels handhaven
Jeugd en Zorg;Ik wilde een storing doorgeven aan de leverancier Beenhakker betreffende mijn elektrische rolstoel waar ik totaal afhankelijk van ben. Beenhakker verwees mij naar de casemanager van Adviesbureau Reade. Die nam op zich de klacht op te nemen met Beenhakker waarna Beenhakker contact op zou nemen met mij. Dat is niet gebeurd in de daaropvolgende twee dagen. Uiteindelijk is het mijzelf wel gelukt om een afspraak te maken. Ik wil een klacht indienen dat een casemanager ingeschakeld moet worden bij het melden van een storing. Zo ging er nodeloos twee dagen overheen om een storing op te pakken.;Zorgen dat een storingsdienst bereikbaar is voor de burger en duidelijkheid geven over de rol van de casemanager Adviesbureau Reade. Ook in andere trajecten popt de casemanager ongevraagd op. Ben ik verplicht hiervan gebruik te maken en zo, ja waarom?
Jeugd en Zorg;Ik beklaag mij over het feit dat Amsterdam de pieten niet gewoon zwart maakt.;Laat alles zo als het was.
Jeugd en Zorg;Een schande dat jullie zwarte Piet toch gaan verandren. Jullie zwichten voor een paar zeuren buitenlanders.;zwarte Piet gewoon toestaan
Jeugd en Zorg;Zwarte piet is zwarte piet. Het kan niet zo zijn dat in onze hoofdstad een zeer hollands feest en de daarbij horende tradities word veranderd;Het sinterklaasfeest met zwarte pieten door te laten gaan in mijn mooie hollandsche hoofdstad.
Jeugd en Zorg;Zwarte piet MOET ZWART blijven!;niet ons traditionele kinderfeest verkwanselen door toegeven aan een minimale minderheid
Jeugd en Zorg;Zwarte piet in amsterdam.<br /><br />Beste mevrouw<wbr />/meneer,<br /><br />Ik vind het maar een.vreemde bedoeling in deze democratie. De meerderheid van Amsterdam en ook van Nederland is tegen een verandering van het grote kinderfeest wat al jaren wordt geviert. Het gaat bij de kinderen niet om zwart of wit. Het gaat om wat ze krijgen met het sinterklaas feest. Dit feest wordt al jaren zo geviert zonder enige vorm van rasisme. <br />Ik dien een kacht in omdat Amsterdam zich voor doet als.stad van.de democratie maar in tegendeel. Amsterdam laat zich door een hele kleine meerderheid in stemmen over een kinderfeest.;Gewoon een sinterklaas intocht die al jaren zo gaat en zich niet laten door een kleine groep mensen. En.dat Amsterdam gewoon een democratisch besluit neemt.
Jeugd en Zorg;klacht zwarte piet moet blijven;zwarte pet zwart laten
Jeugd en Zorg;Ik vindt het sociaal, geschiedkundig en politiek incorrect dat zwarte piet niet meer zwart mag zijn.;Laat er gestemd worden.<br />Nederland is een democratie en dit is al heel lang een heel belangrijk issue onder de mensen.<br />Het vertrouwen is al zo ontzettend gekelderd de afgelopen jaren, en deze traditie in ere houden zal een heel grote stap in de goede richting zijn.
Jeugd en Zorg;Zwarte Piet word door de gemeente Amsterdam aangepast. Dit dmv zwarte vegen, en geen rode lippen en oorbellen. 99% van de bevolking wil dit niet. En toch word dit voor een kleine groep 'nieuwe Nederlanders' gedaan. Het is bespottelijk, deze personen komen in ons land en passen zich maar aan en wij niet aan hun. Wij hebben eeuwen lang deze traditie uitgevoerd. Hoe leg je dit uit aan al die mensen die hierin hebben geinvesteerd en plezier aan hebben beleefd. En aan onze kinderen?? Ik zeg ga staan achter je eigen bevolking van 99% en laat die paar mensen die denken dat dit met racisme te maken heeft, links liggen. Die hebben geen verstand van zwarte piet en willen gewoon discussies uitlokken. Hierna hebben ze weer andere punten. Zo blijf je aan de gang, zit hier een punt, en ga achter je bevolking staan en geef je grens en punt aan dat het nu genoeg is, sta sterk, en word niet zwak om maar dingen aan te passen.;Luisteren naar je bevolking van 99% en zet een punt achter alle discussies en sta sterk. En hou Zwarte Piet zoals het was. Ga niet verzwakken en luisteren naar een stel laag opgeleide mensen die denken dat Zwarte Piet met racisme te maken heeft. Want dit is niet zo, en laat dat ook zien!
Jeugd en Zorg;Verandering zwarte piet;Zwarte piet laten bestaan zoals  hij ooit bedoelt is. Mensen die zich beledigd voelen kiezen er zelf voor om dit zo te voelen. Wij als Nederland zijn tolerant tegenover iedereen. We bouwen moskee's, iedereen heeft vrijheid van meningsuiting, godsdienst.. Dat is goed. Tolerantie tegenover een eeuwenoude traditie vanuit andere mensen is niet meer dan logisch lijkt me.<br />We draaien door op deze manier. Laten we onze eigen cultuur niet verloochenen. En laat gemeente Amsterdam daar niet aan mee helpen.
